Rating,Review_title,Review_comment,Hotel_site
5,Exceptional,courteous friendly service nice spa facility delicious breakfast,Addis Ababa
5,My stay at the Haile Grand Addis was a truly memorable experience for my first visit to Ethiopia.,stay haile grand addis hotel nothing short exceptional opulent decor impeccable service every aspect exuded luxury room offered great view including great view addis ababa night complemented indulgent amenity truly enhanced experience anyone seeking blend comfort sophistication haile grand addis hotel perfect choice offering unparalleled value luxurious stay,Addis Ababa
5,It was amazing! Great location and friendly staff. Beautiful rooms,stay haile grand stay experience staff friendly helped u book taxi traditional dance group evening room amazing definitely enjoyed stay highly recommend haile grand,Addis Ababa
5,"You, feel, welcomed, with great smiles. Their customer services is one of the best. The all time are there to make your",beautiful modern still charming old building spacious bright feel luxurious safe outside hotel feel bit unsafe luxury building opposite reality regular ethiopian go area feel unsafe however ethopian people extremely friendly welcoming,Addis Ababa
5,"I had the best time, staying at this hotel, everyone are very friendly, welcoming, respectful, willing go above and beyo",hotel beautiful decoration layout room lighting spacious extremely clean feel secure step going spa challenging tired however keep fit not need go gym,Addis Ababa
5,it was a exelet stay.,location customer service brekafast staff,Addis Ababa
5,Exceptional,everything absolutely lovely place customer experience elevator bit worrying,Addis Ababa
4,Good experience but for the cost of staying there I'd rather go to another property,amazing location cleanliness staff sauna steam room pool room great view great room staff outstanding food taste better tasted bland price property charge expect meal exceptional fell short significant terrible experience spa message session booked spa team explained experience attempted recover free supper experience mentioned meal fall short every time really bother write cause staff kind tentative give credit trying,Addis Ababa
5,Exceptional,try make indian food also provide smoking room smoker requested without balcony not good,Addis Ababa
4,Great hotel with great staff and good value for money,great welcoming helpful staff noisy construction work next door intermittent power cut one day stay,Addis Ababa
4,Too much noise by the house keeping staff early in the morning,front desk employes,Addis Ababa
5,Enjoyed our stay,customer service clean,Addis Ababa
5,Exceptional,talk haile hotel resort talk staff staff friendly room beyond comfortable amazing,Addis Ababa
5,Exceptional,hotel good clean good restaurant food,Addis Ababa
5,My stay was lovely and awesome,property clean staff helpful food good whatever asked commentated,Addis Ababa
5,Very good. We loved our stay after 3 weeks of voluntary work in Ethiopia,everything,Addis Ababa
5,Exceptional,outstanding local dish bonus,Addis Ababa
5,Hospitality in real,hospitality beyond expectation keep good work hale,Addis Ababa
4,satisfying,breakfast full amazing food rich quantity taste beyond expectation,Addis Ababa
4,The staff very careful and helpful,good lift slow scary,Addis Ababa
5,My stay at Haile Grand Addis was Lovely. The room was comfortable and clean and the meals were great,breakfast good variety choose,Addis Ababa
4,"Nice stay, best place to stay in Addis",recently pleasure staying haile grand addis hotel must say exceeded expectation moment arrived impressed excellent service provided staff not professional attentive also seemed genuinely happy working created warm welcoming atmosphere throughout stay one aspect particularly stood cleanliness hotel room immaculate common area always well maintained evident hotel take great pride ensuring high standard cleanliness guest furthermore impressed availability willingness staff assist request inquiry whether shuttle driver ensured smooth transportation room service staff provided prompt delicious meal receptionist always helpful accommodating cleaner kept room spotless everyone went beyond ensure comfortable enjoyable stay haile grand addis hotel truly provides international tourism standard rival many place stayed addis ababa evident prioritize satisfaction guest show every aspect service overall experience haile grand addis hotel exceptional not hesitate return recommend others looking hotel combine excellent service cleanliness genuine hospitality place stay,Addis Ababa
4,"Great place to stay, I would stay again",location view great staff exceptional spa barber excercise massage etc great pool food good not exceptional soup good,Addis Ababa
5,My best experience with Hile Grand,everything entering hotel checked hotel location entire staff customer service room cleanness restaurant food excellent sure come back,Addis Ababa
