Rating,Review_title,Review_comment,Hotel_site,Sentiment_score,Sentiment,Review,Topic,Topic_Label
5,Exceptional,courteous friendly service nice spa facility delicious breakfast,Addis Ababa,0.9186,Positive,Exceptional courteous friendly service nice spa facility delicious breakfast,3,Scenic Views and Surroundings
5,My stay at the Haile Grand Addis was a truly memorable experience for my first visit to Ethiopia.,stay haile grand addis hotel nothing short exceptional opulent decor impeccable service every aspect exuded luxury room offered great view including great view addis ababa night complemented indulgent amenity truly enhanced experience anyone seeking blend comfort sophistication haile grand addis hotel perfect choice offering unparalleled value luxurious stay,Addis Ababa,0.9769,Positive,My stay at the Haile Grand Addis was a truly memorable experience for my first visit to Ethiopia. stay haile grand addis hotel nothing short exceptional opulent decor impeccable service every aspect exuded luxury room offered great view including great view addis ababa night complemented indulgent amenity truly enhanced experience anyone seeking blend comfort sophistication haile grand addis hotel perfect choice offering unparalleled value luxurious stay,1,Staff Helpfulness and Service
5,It was amazing! Great location and friendly staff. Beautiful rooms,stay haile grand stay experience staff friendly helped u book taxi traditional dance group evening room amazing definitely enjoyed stay highly recommend haile grand,Addis Ababa,0.9674,Positive,It was amazing! Great location and friendly staff. Beautiful rooms stay haile grand stay experience staff friendly helped u book taxi traditional dance group evening room amazing definitely enjoyed stay highly recommend haile grand,5,Service Efficiency and Professionalism
5,"You, feel, welcomed, with great smiles. Their customer services is one of the best. The all time are there to make your",beautiful modern still charming old building spacious bright feel luxurious safe outside hotel feel bit unsafe luxury building opposite reality regular ethiopian go area feel unsafe however ethopian people extremely friendly welcoming,Addis Ababa,0.9646,Positive,"You, feel, welcomed, with great smiles. Their customer services is one of the best. The all time are there to make your beautiful modern still charming old building spacious bright feel luxurious safe outside hotel feel bit unsafe luxury building opposite reality regular ethiopian go area feel unsafe however ethopian people extremely friendly welcoming",0,Room Quality and Comfort
5,"I had the best time, staying at this hotel, everyone are very friendly, welcoming, respectful, willing go above and beyo",hotel beautiful decoration layout room lighting spacious extremely clean feel secure step going spa challenging tired however keep fit not need go gym,Addis Ababa,0.8676,Positive,"I had the best time, staying at this hotel, everyone are very friendly, welcoming, respectful, willing go above and beyo hotel beautiful decoration layout room lighting spacious extremely clean feel secure step going spa challenging tired however keep fit not need go gym",4,Food Quality and Dining Experience
5,it was a exelet stay.,location customer service brekafast staff,Addis Ababa,0,Positive,it was a exelet stay. location customer service brekafast staff,5,Service Efficiency and Professionalism
5,Exceptional,everything absolutely lovely place customer experience elevator bit worrying,Addis Ababa,0.4005,Positive,Exceptional everything absolutely lovely place customer experience elevator bit worrying,3,Scenic Views and Surroundings
4,Good experience but for the cost of staying there I'd rather go to another property,amazing location cleanliness staff sauna steam room pool room great view great room staff outstanding food taste better tasted bland price property charge expect meal exceptional fell short significant terrible experience spa message session booked spa team explained experience attempted recover free supper experience mentioned meal fall short every time really bother write cause staff kind tentative give credit trying,Addis Ababa,0.9756,Positive,Good experience but for the cost of staying there I'd rather go to another property amazing location cleanliness staff sauna steam room pool room great view great room staff outstanding food taste better tasted bland price property charge expect meal exceptional fell short significant terrible experience spa message session booked spa team explained experience attempted recover free supper experience mentioned meal fall short every time really bother write cause staff kind tentative give credit trying,4,Food Quality and Dining Experience
5,Exceptional,try make indian food also provide smoking room smoker requested without balcony not good,Addis Ababa,0.2594,Positive,Exceptional try make indian food also provide smoking room smoker requested without balcony not good,0,Room Quality and Comfort
4,Great hotel with great staff and good value for money,great welcoming helpful staff noisy construction work next door intermittent power cut one day stay,Addis Ababa,0.7906,Positive,Great hotel with great staff and good value for money great welcoming helpful staff noisy construction work next door intermittent power cut one day stay,4,Food Quality and Dining Experience
4,Too much noise by the house keeping staff early in the morning,front desk employes,Addis Ababa,0,Positive,Too much noise by the house keeping staff early in the morning front desk employes,4,Food Quality and Dining Experience
5,Enjoyed our stay,customer service clean,Addis Ababa,0.4019,Positive,Enjoyed our stay customer service clean,3,Scenic Views and Surroundings
5,Exceptional,talk haile hotel resort talk staff staff friendly room beyond comfortable amazing,Addis Ababa,0.8834,Positive,Exceptional talk haile hotel resort talk staff staff friendly room beyond comfortable amazing,4,Food Quality and Dining Experience
5,Exceptional,hotel good clean good restaurant food,Addis Ababa,0.8176,Positive,Exceptional hotel good clean good restaurant food,2,Reception and Check-In Experience
5,My stay was lovely and awesome,property clean staff helpful food good whatever asked commentated,Addis Ababa,0.8126,Positive,My stay was lovely and awesome property clean staff helpful food good whatever asked commentated,2,Reception and Check-In Experience
5,Very good. We loved our stay after 3 weeks of voluntary work in Ethiopia,everything,Addis Ababa,0,Positive,Very good. We loved our stay after 3 weeks of voluntary work in Ethiopia everything,4,Food Quality and Dining Experience
5,Exceptional,outstanding local dish bonus,Addis Ababa,0.8176,Positive,Exceptional outstanding local dish bonus,0,Room Quality and Comfort
5,Hospitality in real,hospitality beyond expectation keep good work hale,Addis Ababa,0.4404,Positive,Hospitality in real hospitality beyond expectation keep good work hale,0,Room Quality and Comfort
4,satisfying,breakfast full amazing food rich quantity taste beyond expectation,Addis Ababa,0.8126,Positive,satisfying breakfast full amazing food rich quantity taste beyond expectation,3,Scenic Views and Surroundings
4,The staff very careful and helpful,good lift slow scary,Addis Ababa,-0.0772,Positive,The staff very careful and helpful good lift slow scary,2,Reception and Check-In Experience
5,My stay at Haile Grand Addis was Lovely. The room was comfortable and clean and the meals were great,breakfast good variety choose,Addis Ababa,0.4404,Positive,My stay at Haile Grand Addis was Lovely. The room was comfortable and clean and the meals were great breakfast good variety choose,3,Scenic Views and Surroundings
4,"Nice stay, best place to stay in Addis",recently pleasure staying haile grand addis hotel must say exceeded expectation moment arrived impressed excellent service provided staff not professional attentive also seemed genuinely happy working created warm welcoming atmosphere throughout stay one aspect particularly stood cleanliness hotel room immaculate common area always well maintained evident hotel take great pride ensuring high standard cleanliness guest furthermore impressed availability willingness staff assist request inquiry whether shuttle driver ensured smooth transportation room service staff provided prompt delicious meal receptionist always helpful accommodating cleaner kept room spotless everyone went beyond ensure comfortable enjoyable stay haile grand addis hotel truly provides international tourism standard rival many place stayed addis ababa evident prioritize satisfaction guest show every aspect service overall experience haile grand addis hotel exceptional not hesitate return recommend others looking hotel combine excellent service cleanliness genuine hospitality place stay,Addis Ababa,0.9966,Positive,"Nice stay, best place to stay in Addis recently pleasure staying haile grand addis hotel must say exceeded expectation moment arrived impressed excellent service provided staff not professional attentive also seemed genuinely happy working created warm welcoming atmosphere throughout stay one aspect particularly stood cleanliness hotel room immaculate common area always well maintained evident hotel take great pride ensuring high standard cleanliness guest furthermore impressed availability willingness staff assist request inquiry whether shuttle driver ensured smooth transportation room service staff provided prompt delicious meal receptionist always helpful accommodating cleaner kept room spotless everyone went beyond ensure comfortable enjoyable stay haile grand addis hotel truly provides international tourism standard rival many place stayed addis ababa evident prioritize satisfaction guest show every aspect service overall experience haile grand addis hotel exceptional not hesitate return recommend others looking hotel combine excellent service cleanliness genuine hospitality place stay",1,Staff Helpfulness and Service
4,"Great place to stay, I would stay again",location view great staff exceptional spa barber excercise massage etc great pool food good not exceptional soup good,Addis Ababa,0.9325,Positive,"Great place to stay, I would stay again location view great staff exceptional spa barber excercise massage etc great pool food good not exceptional soup good",5,Service Efficiency and Professionalism
5,My best experience with Hile Grand,everything entering hotel checked hotel location entire staff customer service room cleanness restaurant food excellent sure come back,Addis Ababa,0.7184,Positive,My best experience with Hile Grand everything entering hotel checked hotel location entire staff customer service room cleanness restaurant food excellent sure come back,4,Food Quality and Dining Experience
4,It was worth it!,warm welcome complementary service breakfast elevator issue,Addis Ababa,0.5994,Positive,It was worth it! warm welcome complementary service breakfast elevator issue,3,Scenic Views and Surroundings
5,My family has enjoyed everything,excellent staff excellent food,Addis Ababa,0.8126,Positive,My family has enjoyed everything excellent staff excellent food,0,Room Quality and Comfort
5,Exceptional,excellent staff,Addis Ababa,0.5719,Positive,Exceptional excellent staff,1,Staff Helpfulness and Service
5,"We had a fantastic time at Haile Grand Addis Ababa Resort, highly recommended!",love breakfast variety delicious food selection suit taste also make sure visit alem elfegn enjoyable experience ethiopian traditional food coffee tej addition ethiopian traditional music dance location perfect staff member kind providing wonderful service stay,Addis Ababa,0.9747,Positive,"We had a fantastic time at Haile Grand Addis Ababa Resort, highly recommended! love breakfast variety delicious food selection suit taste also make sure visit alem elfegn enjoyable experience ethiopian traditional food coffee tej addition ethiopian traditional music dance location perfect staff member kind providing wonderful service stay",3,Scenic Views and Surroundings
4,cool,fitness restaurant european menu,Addis Ababa,0.2732,Positive,cool fitness restaurant european menu,3,Scenic Views and Surroundings
5,Exceptional,hotel perfect chose coming back evening feeling coming home welcoming atmosphere liked hotel everything one need restaurant amazing rockview cafe swimming pool special appreciation beautiful fresh flower everywhere,Addis Ababa,0.9774,Positive,Exceptional hotel perfect chose coming back evening feeling coming home welcoming atmosphere liked hotel everything one need restaurant amazing rockview cafe swimming pool special appreciation beautiful fresh flower everywhere,4,Food Quality and Dining Experience
5,Exceptional,breakfast great staff amazing,Addis Ababa,0.836,Positive,Exceptional breakfast great staff amazing,1,Staff Helpfulness and Service
4,stop-over for airport travel,nice hotel friendly helpfull staff,Addis Ababa,0.7184,Positive,stop-over for airport travel nice hotel friendly helpfull staff,3,Scenic Views and Surroundings
4,Very good,staff service facility spa swimming pool room arrival check traditional restaurant breakfast presentation room,Addis Ababa,0,Positive,Very good staff service facility spa swimming pool room arrival check traditional restaurant breakfast presentation room,4,Food Quality and Dining Experience
