Rating,Review_title,Review_comment
5,Exceptional,"Clean, great staff, delicious foods and great amenities."
5,Exceptional,Beautiful hotel and location and very helpful staff
5,Exceptional,"Lovely area, gorgeous views. Highly recommend visiting the Dorze Village, a boat ride and hiking to the springs."
5,Exceptional,Excellent service and great quality.
5,Exceptional,Nice vacation places
5,Exceptional,"Everything was very good, and professional. breakfast, SPA, massage , pool and the worker from the hotel are very polite . In general I really enjoyed my stay in Haile resort... thank you, hope to come again."
5,Exceptional,Enjoyed the Amazing view. The courteous customer atmosphere from every stuff members in the property. Starting from the Airport shuttle service all the way to our hotel stay
5,Exceptional,Clean resort with beautiful view.
4,Very good,The hotel and staff were great. Wasn’t really helpful with arranging transportation options to visit the local township. WiFi access was very unstable especially in the room
5,Exceptional,"They all super friendly, the hospitality is very amazing. and the rooms are very clean"
5,Exceptional,Amazing view!
4,Very good,Thanks.
5,Exceptional,Absolutely stunning place with exceptional customer service. Highly recommend.
5,Two thumbs up,"We absolutely loved our stay at Haile!! The view was AMAZING, the food was great and the staff were terrific. We swam in the pool everyday and enjoyed the gym as well. We were sad to leave and we will be back!"
5,Coming back for sure,We expected a lot but it was exceeded starting from friendly reception up to good management in handling minor complaints - very clean - top experience
5,THE NAME SPEAKS BY ITSELF- HAILE RESORT,"Very organized & accommodating. Thank you for the comfort & wonderful experience that we had during our stay. Infact, the name speaks by itself a lot. HAILE RESORT. Addis workessa"
5,Exceptional,Everything
5,Exceptional,
5,Exceptional,
5,Exceptional,
5,Exceptional,"Very nice hotel, well equipped with a magnificent view from the pool side. The staff was very attentive to our needs, responsive and efficient. They gave me a nice surprise for my birthday. I highly recommend!"
5,Exceptional,
5,Exceptional,Cleanliness and friendly staff
5,Exceptional,The staff were super nice
5,Wonderful visit—Loved Our Stay,"We rented a premium suite for our family of five, and added a comfortable cot for $29 a day. The two extremely comfortable adjoining rooms connected to a living area in the middle . It was worth it to pay the extra to wake up to the sunrise over the lake with the mountains. Absolutely gorgeous views. The air conditioning was a great asset, and the shower pressure was comfortably strong. The included morning buffet was great, but the a la carte menu took an hour to prepare every time, and it cost 2000ETB each time to feed five of us. While it was convenient to eat at the hotel sometimes, the food was better and cheaper at Paradise Lodge and the Tourisy Hotel."
5,Perfect ! Amazing !,"It was amazing , thanks for every one in Haile Resort ! Hope see you again !"
5,magnificent,Very professional the best service i ever get thanks
5,Exceptional,
5,Exceptional,International standard breakfast Room cleaniness Profesional staff services
5,Exceptional,
5,Exceptional,It's an excellent stay me and family highly recommend this to people.
5,Exceptional,We stay here frequently because we can count on excellent service and everything being in working order. It is stress free. The staff are wonderful and we like the food very much.
5,Amazing staff with stunning scenery??,We had a short but amazing stay at Haile’s Arbaminch. Very helpful staff with amazing smiles. Clean environment with breathtaking scenery from a cliff.The food tastes great. I highly recommend the lake side rooms for the best terrace view. You can’t run out of activities out there but I wish the hotel extends its guest complementary facilities as a courtesy until shuttle pickup time rather than checkout time which is 11am for a 1:30pm afternoon airport shuttle service. We are deeply satisfied; and proud to recommend this hotel.
4,Very good,"Great view of Abaya and Chamo lakes, good restaurant, cleanness of the property."
5,Exceptional,Beautiful view. Super clean. Everything worked. Great shower in bathroom. Delicious food. We love staying here.
5,Exceptional,"This hotel has international standards, services, amenities including the spa. The food was superb and had variety. The location of the hotel is scenic overlooking the lake, hills and lash forest... A good getaway location away from busy cities."
5,Exceptional,"I am mesmerised by this perfect Hotel with heavenly kind of customer service. the only thing I can say is God bless the whole staff at Haile Resort, keep up the nice service."
3,Good,"The spa is really good and the people working in the spa department did a really good job. In generally all employees working in this property treat their customers really good. BUT they were out of some room aminities like shampoo, rooth paste, shower cup and some more. We are paying a lot but doesnt even get the basic aminities. Additionally the food in most of the haile resorts doesnt taste really good but it ua over priced. He need to work on that on most of his resturants."
5,Exceptional,Great staff. This hotel is the best and most respectful by far. They accommodate all needs for customers. I love them!
5,Room was spacious and clean. Staff vary friendly,"Room was spacious and clean. Staff very friendly and helpful. Hotel is in a good location, close to restaurants and other amenities."
5,Exceptional,"Haile Resort ,It was excellent in every sense!"
4,Very good,"I like the cleanness of the rooms and the restaurants. The serviceis excellent. The royal level reception starts right at the gate and follows you all the way untill you leave the resort. Steam, sauna and spa are complimentary. Massage is also at very reasonable price. Couple of things i didn't like- i had to book two rooms for family of 5 and i was charged for addtion bed they broght for a kid. This is a bit strange based on experinces in North American where hotles try their best to accomodate their guests. Another strange thing was at the check out you have to wait till someone is sent to check the room. I don't know if that is necessay specially if they have your credit card info. In my opnion, they are expected to trust their guest."
4,Very good,
5,Exceptional,Very attentive staff. Meets our expectations. Everything is good
4,Very good,Very nice and relaxing
4,Very good,"we have been here multiple times over the last few years. It continues to be always clean and neat. The food is improving nicely. Service is many times slow, even now when few people are here in the hotel because of Covid 19. Service staff are very friendly and nice. the gym is cleaner than before and the machines are working. They should close the doors at night to limit mosquitoes in the hotel lobby."
4,Very good,"The location on the hill overlooking the lake is good, and the staff and food are also good. However, the front desk does not provide any tourist information such as access to nearby World Heritage sites, so you have to look it up yourself. Since the hotel is in such a good location, it would be nice to have a tour desk. Guests with ample time and budget seem to rent 4WDs and go out on their own. No one staying at this hotel seems to go to the world-famous Konso in a poor local minibus."
4,Very good,"The scenery from the escarpment down to the jungle, 2 lakes and hills in the background is great!"
